,high,val,open,low,from_date,name,industry,start_quote,info,date,to_date,country,vol,symbol,indexes
1229,46.045,45.5873,44.8349,44.7816,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-06-16,2025-03-06,PL,1905618.8475895,PKN,WIG20
1230,46.018,45.7085,45.6421,45.0362,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-06-17,2025-03-06,PL,2171063.4430082,PKN,WIG
1231,46.018,45.7085,45.6421,45.0362,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-06-17,2025-03-06,PL,2171063.4430082,PKN,WIG20
1232,47.0465,46.2129,46.2129,45.8837,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-06-20,2025-03-06,PL,1054454.3487197,PKN,WIG
1233,47.0465,46.2129,46.2129,45.8837,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-06-20,2025-03-06,PL,1054454.3487197,PKN,WIG20
1234,46.3947,46.3947,45.9173,45.6274,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-06-21,2025-03-06,PL,847058.54609437,PKN,WIG
1235,46.3947,46.3947,45.9173,45.6274,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-06-21,2025-03-06,PL,847058.54609437,PKN,WIG20
1236,46.9186,46.8851,46.3816,46.1449,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-06-22,2025-03-06,PL,1001699.8168667,PKN,WIG
1237,46.9186,46.8851,46.3816,46.1449,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-06-22,2025-03-06,PL,1001699.8168667,PKN,WIG20
1238,48.7659,48.7659,46.9793,46.7238,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-06-23,2025-03-06,PL,1461448.0632887,PKN,WIG
1239,48.7659,48.7659,46.9793,46.7238,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-06-23,2025-03-06,PL,1461448.0632887,PKN,WIG20
1240,47.6925,46.4152,39.6591,39.6591,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-06-24,2025-03-06,PL,1369237.5479981,PKN,WIG
1241,47.6925,46.4152,39.6591,39.6591,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-06-24,2025-03-06,PL,1369237.5479981,PKN,WIG20
1242,47.1881,46.5895,46.1449,45.7551,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-06-27,2025-03-06,PL,1107798.7601653,PKN,WIG
1243,47.1881,46.5895,46.1449,45.7551,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-06-27,2025-03-06,PL,1107798.7601653,PKN,WIG20
1244,47.2552,47.0185,47.2348,46.3872,2009-12-30,PKNORLEN,NULL,1800-01-01,NULL,2016-06-28,2025-03-06,PL,1962870.1427141,PKN,WIG
